ID,Tx,Ty,Tz,Q0,Qx,Qy,Qz,flip,coordinates
112531,45.85,14.72,-1847.07,0.6467,-0.2791,-0.6538,0.2761,1,6
112532,48.08,-4.84,-1820.75,0.6989,-0.0558,-0.7106,0.0592,3,6
112535,45.69,20.65,-1862.77,0.6502,-0.2757,-0.6468,0.2889,0,6
112536,51.17,-21.14,-1819.01,0.7076,0.0712,-0.7005,-0.0627,4,6
112537,46.63,-59.85,-1877.44,0.5863,0.4019,-0.5771,-0.4019,1,6
112538,46.35,-45.45,-1848.56,0.6798,0.2034,-0.6741,-0.2056,1,6
112540,45.91,15.24,-1844.27,0.6509,-0.2709,-0.6568,0.2674,1,6
112541,45.89,29.37,-1868.19,0.5745,-0.4109,-0.5791,0.4076,1,6
187014,45.75,14.43,-1851.49,0.6717,-0.2211,-0.6666,0.2358,0,6
187017,47.11,-79.51,-1878.98,0.5861,0.4013,-0.5868,-0.3894,0,6
187018,46.01,21.95,-1872.36,0.5943,-0.3812,-0.5998,0.3781,1,6
187019,45.99,14.23,-1855.98,0.6578,-0.2541,-0.6636,0.2501,1,6
187021,46.56,-55.93,-1855.21,0.6714,0.2318,-0.6641,-0.2335,1,6
187022,51.2,-20.34,-1825.31,0.7108,-0.0083,-0.7034,0.0159,4,6
187023,46.05,29.59,-1877.94,0.5769,-0.4087,-0.5801,0.4052,0,6
187024,45.98,17.36,-1860.67,0.6415,-0.2966,-0.6367,0.3091,0,6
187025,46.01,6.11,-1856.36,0.6831,-0.1897,-0.6751,0.2046,0,6
187026,46.93,-61.22,-1866.71,0.6208,0.3425,-0.6239,-0.3288,0,6
187027,48.11,-19.19,-1819.23,0.7001,0.0058,-0.7134,-0.0039,3,6
187028,46.11,20.53,-1877.97,0.5721,-0.4137,-0.5774,0.41,1,6
187029,46.17,10.22,-1857.91,0.6306,-0.3165,-0.6356,0.3128,1,6
187030,46.21,-0.44,-1854.17,0.6539,-0.2642,-0.6592,0.2609,1,6
187038,45.88,21.54,-1857.31,0.6411,-0.2978,-0.6361,0.3102,0,6
187041,46.08,13.61,-1846.72,0.6319,-0.3145,-0.6368,0.3108,1,6
187042,46.72,-45.73,-1858.61,0.6168,0.3519,-0.6165,-0.3409,0,6
187044,45.91,33.67,-1868.02,0.5851,-0.3954,-0.5802,0.4061,0,6
187046,46.14,2.41,-1837.48,0.6804,-0.1876,-0.6842,0.1836,1,6
187047,48.45,-19.19,-1812.59,0.6971,0.0446,-0.7146,-0.0431,3,6
187049,46.26,15.45,-1836.13,0.6705,-0.2276,-0.6638,0.2417,0,6
187050,46.58,30.88,-1869.91,0.5364,-0.4588,-0.5336,0.4659,0,6
187053,47.93,-3.59,-1818.67,0.6985,-0.0581,-0.7105,0.0614,3,6
187055,46.28,32.01,-1867.64,0.5887,-0.3907,-0.5831,0.4011,0,6
187058,48.05,-15.05,-1814.43,0.6948,0.0644,-0.7138,-0.0631,3,6
187063,47.98,-12.57,-1816.54,0.7001,0.0136,-0.7139,-0.0115,3,6
187065,46.22,8.29,-1838.28,0.6847,-0.1843,-0.6766,0.1988,0,6
187069,46.82,-43.92,-1836.23,0.6712,0.2174,-0.6797,-0.2001,0,6
187070,48.05,-23.03,-1822.05,0.7005,0.0011,-0.7135,0.0018,3,6
187071,46.27,16.74,-1845.51,0.6365,-0.3054,-0.6416,0.3011,1,6
187078,46.73,-42.22,-1834.59,0.6723,0.2124,-0.6815,-0.1961,0,6
187079,47.11,-57.31,-1860.98,0.5855,0.4029,-0.5836,-0.3918,0,6
187080,48.14,-26.71,-1823.92,0.6939,0.0687,-0.7132,-0.0671,3,6
187081,46.26,12.77,-1845.85,0.6486,-0.2773,-0.6542,0.2733,1,6
187086,46.29,13.27,-1855.15,0.6383,-0.3009,-0.6437,0.2968,1,6
187087,48.07,-22.14,-1830.77,0.7006,0.0016,-0.7135,0.0019,3,6
187088,41.32,5.8,-1835.17,0.6546,-0.1805,-0.7072,0.1972,3,6
187089,47.14,-60.27,-1867.28,0.6272,0.3326,-0.6286,-0.3179,0,6
187090,46.97,-52.06,-1852.56,0.6571,0.2607,-0.6638,-0.2446,0,6
187097,46.29,16.89,-1860.13,0.6359,-0.3066,-0.6405,0.3025,1,6
187098,47.99,-21.42,-1826.58,0.6999,0.0057,-0.7142,-0.0025,3,6
187099,47.07,-57.82,-1862.29,0.6257,0.3351,-0.6271,-0.3209,0,6
187106,46.33,10.82,-1861.15,0.6435,-0.2891,-0.6497,0.2851,1,6
187107,48.05,-22.07,-1833.71,0.6999,0.0143,-0.7142,-0.0119,3,6
187108,47,-55.68,-1857.35,0.6559,0.2642,-0.6624,-0.2479,0,6
187115,46.34,7.15,-1861.88,0.6611,-0.2471,-0.6656,0.243,1,6
187116,46.24,20.41,-1874.36,0.5754,-0.4095,-0.5807,0.4056,1,6
187117,47.99,-14.87,-1834.68,0.7004,-0.0097,-0.7136,0.0129,3,6
187118,47.04,-56.11,-1860.38,0.6389,0.3064,-0.6429,-0.2911,0,6
187126,46.33,16.58,-1876.91,0.6244,-0.3298,-0.6289,0.3259,1,6
187127,48.02,-23.59,-1833.45,0.7001,0.0111,-0.7138,-0.0083,3,6
187128,46.81,-44.2,-1844.44,0.6721,0.2149,-0.6806,-0.1978,0,6
187134,46.33,15.95,-1868.89,0.6267,-0.3257,-0.6309,0.3219,1,6
187135,47.98,-19.14,-1830.42,0.7003,-0.0072,-0.7139,0.0105,3,6
187136,47.03,-52.28,-1867.49,0.6386,0.3077,-0.6418,-0.2929,0,6
187149,47.03,-49.53,-1863.21,0.6039,0.3758,-0.6001,-0.3659,0,6
187155,47.96,-16.33,-1819.61,0.6951,0.0623,-0.7134,-0.0617,3,6
187161,46.28,7.71,-1841.21,0.6549,-0.2621,-0.6598,0.2584,1,6
187162,48.01,-31.83,-1813.72,0.6928,0.0774,-0.7128,-0.0765,3,6
187163,47.01,-55.31,-1847.29,0.6489,0.2834,-0.6537,-0.2679,0,6
187168,46.35,1.05,-1839.26,0.6751,-0.2059,-0.6793,0.2019,1,6
187169,48.01,-33.33,-1815.5,0.6929,0.0774,-0.7135,-0.0771,3,6
187170,44.27,-60.61,-1853.09,0.6434,0.2961,-0.6669,-0.2319,0,6
187179,47.07,-58.61,1851.07,0.6276,0.3304,-0.6307,-0.3152,0,6
187180,47.85,-24.93,-1809.51,0.7001,0.0063,-0.7137,-0.0038,3,6
187181,46.31,14.72,-1858.33,0.6081,-0.3591,-0.6127,0.3549,1,6
187182,46.38,-4.07,-1837.47,0.6715,-0.2171,-0.6761,0.2134,1,6
199726,46.31,8.21,-1842.98,0.6791,-0.1917,-0.6834,0.1872,1,6
199727,47.11,-50.58,-1864.12,0.5856,0.4043,-0.5809,-0.3854,0,6
199733,46.26,31.85,-1869.72,0.5735,-0.4135,-0.5768,0.4096,1,6
199734,47.11,-51.64,-1868.79,0.5919,0.3942,-0.5894,-0.3838,0,6
199747,47.14,-61.7,-1856.71,0.6206,0.3442,-0.6222,-0.3299,0,6
199748,48.01,-24.59,-1823.12,0.6983,0.0336,-0.7144,-0.0319,3,6
199749,46.32,20.57,-1858.22,0.6247,-0.3294,-0.6291,0.3251,1,6
199750,46.36,14.36,-1847.67,0.6681,-0.2275,-0.6726,0.2234,1,6
199759,43.01,-54.81,-1846.67,0.6434,0.2881,-0.6775,-0.2103,0,6
199760,47.31,-62.59,-1874.04,0.5895,0.3973,-0.5901,-0.3841,0,6
199761,47.98,-26.12,-1821.15,0.6982,0.0318,-0.7145,-0.0305,3,6
199762,46.38,19.63,-1867.11,0.6058,-0.3639,-0.6095,0.3596,1,6
199763,46.43,10.98,-1856.21,0.6598,-0.2501,-0.6644,0.2462,1,6
339336,47.09,-50.49,-1856.68,0.6543,0.2702,-0.6598,-0.2541,0,6
339346,46.43,9.89,-1847.39,0.6625,-0.2425,-0.6673,0.2384,1,6
339347,48.05,-17.53,-1837.68,0.6992,0.0351,-0.7138,-0.0338,3,6
339348,47.15,-51.15,-1863.55,0.6472,0.2894,-0.6505,-0.2736,0,6
339356,46.43,10.05,-1855.45,0.6611,-0.2465,-0.6659,0.2423,1,6
339357,46.38,27.33,-1873.89,0.5825,-0.4004,-0.5868,0.3958,1,6
339358,47.96,-22.41,-1826.95,0.7002,0.0035,-0.7143,-0.0011,3,6
339359,47.25,-58.07,-1867.24,0.6319,0.3235,-0.6334,-0.3089,0,6
339360,46.92,-41.29,-1844.58,0.6721,0.2161,-0.6798,-0.1989,0,6
339368,46.34,23.62,-1853.58,0.6259,-0.3275,-0.6299,0.3231,1,6
339369,46.47,11.37,-1858.11,0.6449,-0.2868,-0.6499,0.2827,1,6
339370,48.13,-25.35,-1835.98,0.6958,0.0596,-0.7135,-0.0578,3,6
